jogo ,liga,resultado,btts,goals_scoredA,goals_scoredB,avg_goals_scoredA,avg_goals_scoredB,goals_concededA,goals_concededB,avg_goals_concededA,avg_goals_concededB,avg_total_goalsA,avg_total_goalsB,over1_5A,over1_5B,over2_5A,over2_5B,over0_5_htA,over0_5_htB,over1_5_htA,over1_5_htB
Manchester City vs Brighton,inglaterra,a,nao,24.00,21.00,1.60,1.24,13.00,28.00,0.87,1.65,2.47,2.88,0.73,0.82,0.27,0.59,0.93,0.71,0.13,0.18
Tottenham vs Fulham,inglaterra,x,sim,29.00,13.00,1.81,0.87,15.00,23.00,0.94,1.53,2.75,2.40,0.75,0.73,0.38,0.40,0.75,0.67,0.38,0.40
Corinthians vs Fluminense,brasil,a,nao,30.00,39.00,1.11,1.39,30.00,32.00,1.11,1.14,2.22,2.54,0.63,0.75,0.44,0.54,0.74,0.86,0.30,0.29
Lazio vs Roma,italia,a,nao,27.00,37.00,1.59,2.18,25.00,26.00,1.47,1.53,3.06,3.71,1.00,0.82,0.53,0.76,0.88,0.82,0.41,0.47
Avai vs Vitoria,brasilB,x,sim,34.00,39.00,1.03,1.18,41.00,42.00,1.24,1.27,2.27,2.45,0.64,0.64,0.39,0.48,0.64,0.73,0.24,0.36
Feyenoord vs Zwolle,holanda,a,nao,31.00,17.00,2.07,1.13,12.00,23.00,0.80,1.53,2.87,2.67,0.87,0.87,0.47,0.47,0.60,0.73,0.33,0.33
Cruzeiro vs Oeste,brasilB,b,nao,37.00,25.00,1.12,0.76,29.00,54.00,0.88,1.64,2.00,2.39,0.55,0.73,0.33,0.52,0.64,0.64,0.33,0.39
Arsenal vs Crystal Palace,inglaterra,x,nao,20.00,22.00,1.18,1.29,19.00,29.00,1.12,1.71,2.29,3.00,0.65,0.88,0.53,0.47,0.65,0.82,0.41,0.35
Operario vs CRB,brasilB,a,sim,33.00,36.00,0.97,1.06,30.00,39.00,0.88,1.15,1.85,2.21,0.59,0.65,0.26,0.41,0.56,0.59,0.21,0.24
Cuiaba vs Guarani,brasilB,a,nao,40.00,39.00,1.18,1.15,33.00,39.00,0.97,1.15,2.15,2.29,0.62,0.68,0.35,0.41,0.56,0.79,0.21,0.32
Twente vs Ajax,holanda,b,sim,30.00,54.00,2.00,3.60,19.00,12.00,1.27,0.80,3.27,4.40,1.00,0.87,0.60,0.80,0.93,0.87,0.47,0.60
Montpellier vs Monaco,franca,b,sim,31.00,36.00,1.63,1.89,32.00,27.00,1.68,1.42,3.32,3.32,0.84,0.84,0.63,0.79,0.74,0.89,0.26,0.47
Union Berlin vs Leverkusen,alemanha,a,nao,31.00,30.00,2.07,2.00,20.00,15.00,1.33,1.00,3.40,3.00,1.00,0.80,0.67,0.60,0.73,0.80,0.40,0.47
Sporting vs Rio Ave,portugal,x,sim,30.00,9.00,2.31,0.69,8.00,15.00,0.62,1.15,2.92,1.85,0.92,0.69,0.62,0.31,0.77,0.69,0.54,0.08
Porto vs Benfica,portugal,x,sim,35.00,28.00,2.69,2.15,16.00,13.00,1.23,1.00,3.92,3.15,0.85,1.00,0.77,0.62,0.92,0.85,0.69,0.38
Greuther Furth vs Paderborn,alemanhaB,x,sim,29.00,20.00,1.93,1.33,19.00,18.00,1.27,1.20,3.20,2.53,0.87,0.67,0.67,0.47,0.87,0.73,0.80,0.40
Wurzburger K. vs Braunschweig,alemanhaB,x,nao,18.00,14.00,1.20,0.93,35.00,32.00,2.33,2.13,3.53,3.07,0.93,0.87,0.73,0.73,0.73,0.73,0.27,0.47
Figueirense vs Brasil de P.,brasilB,a,nao,28.00,30.00,0.82,0.88,35.00,28.00,1.03,0.82,1.85,1.71,0.56,0.50,0.35,0.32,0.53,0.44,0.26,0.26
Sampaio Correa vs Parana,brasilB,a,sim,43.00,33.00,1.26,0.97,36.00,45.00,1.06,1.32,2.32,2.29,0.62,0.68,0.50,0.38,0.71,0.59,0.29,0.32
Palmeiras vs Gremio,brasil,x,sim,38.00,37.00,1.41,1.32,25.00,23.00,0.93,0.82,2.33,2.14,0.81,0.71,0.41,0.43,0.59,0.68,0.30,0.14
America MG vs Botafogo SP,brasilB,x,sim,40.00,24.00,1.18,0.71,21.00,33.00,0.62,0.97,1.79,1.68,0.50,0.50,0.38,0.26,0.62,0.47,0.26,0.12
Wolverhampton vs West Brom,inglaterra,b,sim,19.00,11.00,1.06,0.65,26.00,39.00,1.44,2.29,2.50,2.94,0.72,0.76,0.44,0.47,0.61,0.76,0.33,0.41
Leeds vs Brighton,inglaterra,b,nao,30.00,21.00,1.76,1.17,33.00,29.00,1.94,1.61,3.71,2.78,0.71,0.78,0.65,0.56,0.71,0.72,0.59,0.33
West Ham vs Burnley,inglaterra,a,nao,24.00,9.00,1.41,0.56,21.00,21.00,1.24,1.31,2.65,1.88,0.76,0.38,0.59,0.31,0.71,0.62,0.35,0.19
Fulham vs Chelsea,inglaterra,b,nao,14.00,32.00,0.88,1.88,24.00,21.00,1.50,1.24,2.38,3.12,0.75,0.82,0.38,0.65,0.69,0.71,0.38,0.35
Leicester vs Southampton,inglaterra,a,nao,31.00,26.00,1.82,1.53,21.00,19.00,1.24,1.12,3.06,2.65,0.82,0.65,0.65,0.35,0.71,0.82,0.53,0.35
Bologna vs Hellas Verona,italia,a,nao,23.00,22.00,1.35,1.29,31.00,16.00,1.82,0.94,3.18,2.24,0.76,0.76,0.59,0.41,0.76,0.59,0.47,0.24
Torino vs Spezia,italia,x,nao,26.00,23.00,1.53,1.35,35.00,32.00,2.06,1.88,3.59,3.24,0.88,0.88,0.65,0.82,0.71,0.71,0.35,0.47
Sampdoria vs Udinese,italia,a,sim,26.00,18.00,1.53,1.13,28.00,25.00,1.65,1.56,3.18,2.69,0.94,0.69,0.82,0.50,0.88,0.75,0.41,0.31
Marseille vs Nimes,franca,b,sim,25.00,14.00,1.47,0.74,16.00,40.00,0.94,2.11,2.41,2.84,0.76,0.74,0.41,0.53,0.65,0.68,0.35,0.37
Angers vs PSG,franca,b,nao,25.00,43.00,1.32,2.26,30.00,11.00,1.58,0.58,2.89,2.84,0.79,0.74,0.53,0.58,0.79,0.74,0.58,0.42
Dortmund vs Mainz,alemanha,x,sim,31.00,14.00,2.07,0.93,19.00,33.00,1.27,2.20,3.33,3.13,0.93,0.73,0.67,0.60,0.60,0.80,0.20,0.47
Koln vs Hertha Berlin,alemanha,x,nao,13.00,23.00,0.87,1.53,27.00,25.00,1.80,1.67,2.67,3.20,0.73,0.80,0.53,0.60,0.67,0.73,0.53,0.27
Hoffenheim vs Bielifeld,alemanha,x,nao,22.00,10.00,1.47,0.67,30.00,24.00,2.00,1.60,3.47,2.27,0.87,0.60,0.73,0.40,0.80,0.47,0.53,0.27
Werder Bremen vs Augsburg,alemanha,a,nao,17.00,17.00,1.13,1.13,24.00,23.00,1.60,1.53,2.73,2.67,0.87,0.80,0.33,0.47,0.73,0.67,0.53,0.13
Wolfsburg vs Leipzig,alemanha,x,sim,22.00,26.00,1.47,1.73,17.00,12.00,1.13,0.80,2.60,2.53,0.80,0.73,0.47,0.47,0.60,0.67,0.60,0.40
Stuttgart vs Monchengladbach,alemanha,x,sim,30.00,28.00,2.00,1.87,22.00,24.00,1.47,1.60,3.47,3.47,0.87,0.87,0.60,0.60,0.87,0.67,0.53,0.47
Paços Ferreira vs Braga,portugal,a,nao,17.00,23.00,1.31,1.77,12.00,13.00,0.92,1.00,2.23,2.77,0.85,0.69,0.23,0.62,0.69,0.77,0.08,0.38
Tondela vs Boavista,portugal,a,sim,10.00,13.00,0.77,1.00,22.00,21.00,1.69,1.62,2.46,2.62,0.77,0.69,0.31,0.46,0.69,0.54,0.23,0.38
Middlesbrough vs Birmingham,inglaterraB,b,nao,28.00,17.00,1.27,0.74,18.00,29.00,0.82,1.26,2.09,2.00,0.59,0.57,0.41,0.39,0.59,0.48,0.27,0.30
Blackburn vs Stoke,inglaterraB,x,sim,38.00,26.00,1.65,1.13,27.00,22.00,1.17,0.96,2.83,2.09,0.78,0.52,0.61,0.30,0.65,0.61,0.30,0.26
Bournemouth vs Luton Town,inglaterraB,b,nao,38.00,20.00,1.65,0.87,19.00,26.00,0.83,1.13,2.48,2.00,0.65,0.70,0.39,0.30,0.70,0.61,0.35,0.26
Bristol vs Preston,inglaterraB,a,nao,23.00,30.00,1.05,1.30,24.00,31.00,1.09,1.35,2.14,2.65,0.64,0.70,0.41,0.57,0.59,0.61,0.23,0.17
Cardiff vs Norwich,inglaterraB,b,sim,29.00,31.00,1.32,1.35,25.00,20.00,1.14,0.87,2.45,2.22,0.77,0.61,0.41,0.43,0.82,0.61,0.27,0.26
Derby County vs Rotherham,inglaterraB,b,nao,14.00,19.00,0.64,0.95,24.00,29.00,1.09,1.45,1.73,2.40,0.55,0.75,0.18,0.45,0.50,0.60,0.18,0.35
Nottm Forest vs Millwall,inglaterraB,a,sim,16.00,19.00,0.70,0.86,26.00,21.00,1.13,0.95,1.83,1.82,0.70,0.73,0.17,0.27,0.57,0.55,0.09,0.23
Watford vs Huddersfield,inglaterraB,a,nao,25.00,28.00,1.14,1.22,17.00,32.00,0.77,1.36,1.91,2.61,0.50,0.78,0.23,0.57,0.64,0.70,0.23,0.35
Barnsley vs Swansea,inglaterraB,b,nao,27.00,27.00,1.17,1.17,29.00,13.00,1.26,0.57,2.43,1.74,0.78,0.70,0.57,0.17,0.70,0.70,0.35,0.22
