jogo ,liga,resultado,btts,goals_scoredA,goals_scoredB,avg_goals_scoredA,avg_goals_scoredB,goals_concededA,goals_concededB,avg_goals_concededA,avg_goals_concededB,avg_total_goalsA,avg_total_goalsB,over1_5A,over1_5B,over2_5A,over2_5B,over0_5_htA,over0_5_htB,over1_5_htA,over1_5_htB
Manchester City vs Brighton,inglaterra,a,nao,24,21,1.6,1.24,13,28,0.87,1.65,2.47,2.88,0.73,0.82,0.27,0.59,0.93,0.71,0.13,0.18
Tottenham vs Fulham,inglaterra,x,sim,29,13,1.81,0.87,15,23,0.94,1.53,2.75,2.4,0.75,0.73,0.38,0.40,0.75,0.67,0.38,0.40
Corinthians vs Fluminense,brasil,a,nao,30,39,1.11,1.39,30,32,1.11,1.14,2.22,2.54,0.63,0.75,0.44,0.54,0.74,0.86,0.30,0.29
Lazio vs Roma,italia,,,27,37,1.59,2.18,25,26,1.47,1.53,3.06,3.71,1.00,0.82,0.53,0.76,0.88,0.82,0.41,0.47
Avai vs Vitoria,brasilB,x,sim,34,39,1.03,1.18,41,42,1.24,1.27,2.27,2.45,0.64,0.64,0.39,0.48,0.64,0.73,0.24,0.36
Feyenoord vs Zwolle,holanda,a,nao,31,17,2.07,1.13,12,23,0.8,1.53,2.87,2.67,0.87,0.87,0.47,0.47,0.60,0.73,0.33,0.33
Cruzeiro vs Oeste,brasilB,b,nao,37,25,1.12,0.76,29,54,0.88,1.64,2,2.39,0.55,0.73,0.33,0.52,0.64,0.64,0.33,0.39
Arsenal vs Crystal Palace,inglaterra,,,20,22,1.18,1.29,19,29,1.12,1.71,2.29,3,0.65,0.88,0.53,0.47,0.65,0.82,0.41,0.35
Operario vs CRB,brasilB,,,33,36,0.97,1.06,30,39,0.88,1.15,1.85,2.21,0.59,0.65,0.26,0.41,0.56,0.59,0.21,0.24
Cuiaba vs Guarani,brasilB,,,40,39,1.18,1.15,33,39,0.97,1.15,2.15,2.29,0.62,0.68,0.35,0.41,0.56,0.79,0.21,0.32
Twente vs Ajax,holanda,,,30,54,2,3.6,19,12,1.27,0.8,3.27,4.4,1.00,0.87,0.60,0.80,0.93,0.87,0.47,0.60
Montpellier vs Monaco,franca,,,31,36,1.63,1.89,32,27,1.68,1.42,3.32,3.32,0.84,0.84,0.63,0.79,0.74,0.89,0.26,0.47
Union Berlin vs Leverkusen,alemanha,,,31,30,2.07,2,20,15,1.33,1,3.4,3,1.00,0.80,0.67,0.60,0.73,0.80,0.40,0.47
Sporting vs Rio Ave,portugal,,,30,9,2.31,0.69,8,15,0.62,1.15,2.92,1.85,0.92,0.69,0.62,0.31,0.77,0.69,0.54,0.08
Porto vs Benfica,portugal,,,35,28,2.69,2.15,16,13,1.23,1,3.92,3.15,0.85,1.00,0.77,0.62,0.92,0.85,0.69,0.38
Greuther Furth vs Paderborn,alemanhaB,,,29,20,1.93,1.33,19,18,1.27,1.2,3.2,2.53,0.87,0.67,0.67,0.47,0.87,0.73,0.80,0.40
Wurzburger K. vs Braunschweig,alemanhaB,,,18,14,1.2,0.93,35,32,2.33,2.13,3.53,3.07,0.93,0.87,0.73,0.73,0.73,0.73,0.27,0.47
Figueirense vs Brasil de P.,brasilB,,,28,30,0.82,0.88,35,28,1.03,0.82,1.85,1.71,0.56,0.50,0.35,0.32,0.53,0.44,0.26,0.26
Sampaio Correa vs Parana,brasilB,,,43,33,1.26,0.97,36,45,1.06,1.32,2.32,2.29,0.62,0.68,0.50,0.38,0.71,0.59,0.29,0.32
